"编号","开始答题时间","结束答题时间","答题时长","1.您的职业/所属行业是？","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:劳动纠纷（如加班费、合同签订、离职补偿）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:消费维权（如退货遭拒、虚假宣传、霸王条款）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:房屋租赁/买卖（如租房合同争议、物业纠纷）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:家庭事务（如财产继承、婚姻咨询）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:商业合规（如自媒体版权、小微企业合同审核）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:日常突发（如驾驶机动车发生事故，维权等）","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:其他：____","2.在生活或工作中，您最可能在什么场景下需要查询法律信息？（多选）:其他：____[选项填空]","3.如果有这样一个法律小助手，您希望它如何回答您？","4.您预计自己使用此类产品的频率是？","5.关于法律咨询，您目前觉得最麻烦/最痛苦的一点是什么？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"21","04-Mar-2026 16:29:49","04-Mar-2026 16:31:14","85","工厂职员","","","","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","C.帮我分析对方的行为是否违法","A.遇到突发问题时才偶尔使用","B.网上的信息太乱，不知道哪个版本才是现行有效的","简体中文","未清洗","","中国","内蒙古自治区","通辽市","","240e:419:6c01:269:cc2b:9cff:fe6a:fedf","Mozilla/5.0 (Linux; Android 16; PLR110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/2326 REV/f54f4fa14ece7d4915b69ce007dd50b11f259aed MicroM","",
"20","04-Mar-2026 16:01:05","04-Mar-2026 16:01:49","44","互联网","","","C.房屋租赁/买卖（如租房合同争议、物业纠纷）","","E.商业合规（如自媒体版权、小微企业合同审核）","F.日常突发（如驾驶机动车发生事故，维权等）","","","C.帮我分析对方的行为是否违法","B.每月 1-2 次（处理日常合同或事务）","A.法律术语太专业，看不懂","简体中文","未清洗","","中国","甘肃省","定西市","","36.142.111.9","Mozilla/5.0 (Linux; Android 13; PHB110 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/8942 REV/04f9d4e638f33b1909b8f293dffa1cf978d8d0a3 MicroM","",
"19","04-Mar-2026 14:13:29","04-Mar-2026 14:13:56","27","电气工程师","","B.消费维权（如退货遭拒、虚假宣传、霸王条款）","","","","","","","A.直接给出对应的法律条文原文","A.遇到突发问题时才偶尔使用","A.法律术语太专业，看不懂","简体中文","未清洗","","中国","内蒙古自治区","通辽市","","2408:842c:6c00:30e3:80f4:60ff:fe49:e8a0","Mozilla/5.0 (Linux; Android 14; PHK110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/872 REV/f54f4fa14ece7d4915b69ce007dd50b11f259aed MicroMe","",
"18","04-Mar-2026 14:13:13","04-Mar-2026 14:13:54","41","待业","A.劳动纠纷（如加班费、合同签订、离职补偿）","B.消费维权（如退货遭拒、虚假宣传、霸王条款）","C.房屋租赁/买卖（如租房合同争议、物业纠纷）","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","B.用大白话解释法律规定，并给出直接的行动建议","A.遇到突发问题时才偶尔使用","D.搜索出来的条文太多，不知道哪一条真正适用我的情况","简体中文","未清洗","","中国","湖南省","长沙市","","240e:b87:493:9e00:343b:c711:c156:bf8b","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.69(0x1800452d) NetType/WIFI Language/zh_CN","",
"17","04-Mar-2026 14:00:01","04-Mar-2026 14:00:35","34","电气","","","","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","C.帮我分析对方的行为是否违法","B.每月 1-2 次（处理日常合同或事务）","B.网上的信息太乱，不知道哪个版本才是现行有效的","简体中文","未清洗","","中国","安徽省","宣城市","","240e:45a:b68c:6850:7c3f:11ff:fe98:4c14","Mozilla/5.0 (Linux; Android 16; V2307A Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/1019 REV/f54f4fa14ece7d4915b69ce007dd50b11f259aed Mic","",
"16","04-Mar-2026 13:07:57","04-Mar-2026 13:11:00","183","行业","","B.消费维权（如退货遭拒、虚假宣传、霸王条款）","","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","B.用大白话解释法律规定，并给出直接的行动建议","A.遇到突发问题时才偶尔使用","B.网上的信息太乱，不知道哪个版本才是现行有效的","简体中文","未清洗","","中国","甘肃省","定西市","","36.142.111.9","Mozilla/5.0 (Linux; Android 14; SDY-AN00 Build/HONORSDY-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/7050 REV/d0c756158dd728b93f26eb32a93945c25d52e92f MicroM","",
"15","04-Mar-2026 13:08:01","04-Mar-2026 13:09:28","87","铝加工","A.劳动纠纷（如加班费、合同签订、离职补偿）","B.消费维权（如退货遭拒、虚假宣传、霸王条款）","","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","B.用大白话解释法律规定，并给出直接的行动建议","A.遇到突发问题时才偶尔使用","B.网上的信息太乱，不知道哪个版本才是现行有效的","简体中文","未清洗","","中国","甘肃省","定西市","","36.142.111.9","Mozilla/5.0 (Linux; Android 12; ADY-AL10 Build/HUAWEIADY-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/8360 REV/f54f4fa14ece7d4915b69ce007dd50b11f259aed Micro","",
"14","04-Mar-2026 13:01:06","04-Mar-2026 13:02:04","58","律师","","B.消费维权（如退货遭拒、虚假宣传、霸王条款）","C.房屋租赁/买卖（如租房合同争议、物业纠纷）","D.家庭事务（如财产继承、婚姻咨询）","E.商业合规（如自媒体版权、小微企业合同审核）","","","","B.用大白话解释法律规定，并给出直接的行动建议","C.每周多次（职业相关，如 HR、行政或自媒体人）","A.法律术语太专业，看不懂","简体中文","未清洗","","中国","内蒙古自治区","通辽市","","111.56.66.41","Mozilla/5.0 (Linux; Android 16; PLR110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20260101 MMWEBID/6722 REV/f54f4fa14ece7d4915b69ce007dd50b11f259aed MicroM","",
"13","04-Mar-2026 12:52:10","04-Mar-2026 12:53:09","59","给排水","A.劳动纠纷（如加班费、合同签订、离职补偿）","","","D.家庭事务（如财产继承、婚姻咨询）","","","","","C.帮我分析对方的行为是否违法","A.遇到突发问题时才偶尔使用","D.搜索出来的条文太多，不知道哪一条真正适用我的情况","简体中文","未清洗","","中国","江苏省","苏州市","","2408:823c:4c12:f3c4:899b:a05a:c081:a978","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.69(0x1800452d) NetType/WIFI Language/zh_CN","",
"12","04-Mar-2026 12:47:38","04-Mar-2026 12:48:37","59","给排水科学与工程","A.劳动纠纷（如加班费、合同签订、离职补偿）","","","","","F.日常突发（如驾驶机动车发生事故，维权等）","","","B.用大白话解释法律规定，并给出直接的行动建议","A.遇到突发问题时才偶尔使用","B.网上的信息太乱，不知道哪个版本才是现行有效的","简体中文","未清洗","","中国","湖北省","恩施土家族苗族自治州","","2408:824e:b138:43d0:e0b5:93c9:1da4:db0c","Mozilla/5.0 (Linux; Android 16; 24117RK2CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420229 MMWEBSDK/20250904 MMWEBID/1886 MicroMessenger/8.0.64.2940(0x28004033) WeCha","",
